order_id,customer_id,order_date,product_category,product_name,quantity,price,revenue,region,payment_method,year,month
1,52,2026-10-22,Books,Novel,3,1729,5187,East,UPI,2026,10
2,15,2026-08-31,Home,Cushion,2,1218,2436,East,Cash,2026,8
3,72,2026-07-18,Toys,Doll,4,1940,7760,West,Card,2026,7
4,61,2026-11-04,Clothing,Jacket,1,1704,1704,North,UPI,2026,11
5,21,2026-11-11,Home,Table,4,417,1668,South,Cash,2026,11
6,75,2026-10-02,Clothing,Jeans,5,335,1675,East,Card,2026,10
7,75,2026-07-05,Books,Comics,3,433,1299,South,Cash,2026,7
8,24,2026-08-17,Electronics,Headphones,1,475,475,South,Card,2026,8
9,3,2026-09-08,Books,Notebook,1,1582,1582,East,Cash,2026,9
10,22,2026-10-03,Home,Lamp,5,1260,6300,South,Cash,2026,10
11,53,2026-06-07,Clothing,Jacket,5,687,3435,East,UPI,2026,6
12,2,2026-11-28,Clothing,Shirt,2,1670,3340,South,Cash,2026,11
13,30,2026-11-21,Toys,Puzzle,3,612,1836,East,Card,2026,11
14,38,2026-10-25,Clothing,Jeans,3,1419,4257,North,Card,2026,10
15,2,2026-11-02,Toys,Board Game,4,1443,5772,West,UPI,2026,11
16,64,2026-07-08,Electronics,Laptop,2,1017,2034,East,Card,2026,7
17,60,2026-09-03,Home,Lamp,2,1695,3390,East,Card,2026,9
18,21,2026-06-03,Toys,Board Game,2,1955,3910,West,Card,2026,6
19,33,2026-10-18,Electronics,Smartwatch,2,1472,2944,East,Cash,2026,10
20,58,2026-08-25,Clothing,Dress,3,1963,5889,East,Cash,2026,8
21,22,2026-09-16,Clothing,Shirt,3,1902,5706,South,Card,2026,9
22,49,2026-07-26,Electronics,Headphones,2,972,1944,West,UPI,2026,7
23,59,2026-09-17,Clothing,Shirt,4,1352,5408,North,Cash,2026,9
24,42,2026-05-29,Electronics,Headphones,1,369,369,East,UPI,2026,5
25,60,2026-10-03,Toys,Puzzle,1,1951,1951,West,Card,2026,10
26,15,2026-07-14,Toys,Action Figure,4,897,3588,South,Card,2026,7
27,62,2026-10-14,Electronics,Phone,2,1414,2828,North,Cash,2026,10
28,62,2026-07-03,Toys,Board Game,3,824,2472,West,Card,2026,7
29,47,2026-11-03,Toys,Doll,1,1288,1288,North,Cash,2026,11
30,62,2026-06-05,Toys,Puzzle,5,104,520,North,Card,2026,6
31,51,2026-09-03,Books,Notebook,5,950,4750,North,Card,2026,9
32,55,2026-10-21,Home,Cushion,4,1502,6008,East,Cash,2026,10
33,64,2026-07-14,Clothing,Shirt,2,177,354,East,Cash,2026,7
34,3,2026-10-05,Books,Novel,1,1533,1533,South,Cash,2026,10
35,51,2026-10-22,Toys,Board Game,2,673,1346,South,Card,2026,10
36,7,2026-10-26,Electronics,Phone,1,231,231,West,Card,2026,10
37,21,2026-07-20,Toys,Doll,4,700,2800,South,UPI,2026,7
38,73,2026-09-24,Home,Chair,4,1872,7488,North,Cash,2026,9
39,39,2026-11-04,Toys,Doll,5,1165,5825,North,Card,2026,11
40,18,2026-10-26,Electronics,Laptop,2,188,376,East,Card,2026,10
41,4,2026-09-20,Home,Cushion,5,501,2505,North,Cash,2026,9
42,60,2026-08-10,Toys,Puzzle,2,395,790,West,UPI,2026,8
43,14,2026-09-17,Home,Cushion,5,1963,9815,North,Cash,2026,9
44,9,2026-11-07,Clothing,Shirt,3,1418,4254,North,UPI,2026,11
45,53,2026-11-09,Clothing,Shirt,3,715,2145,West,Card,2026,11
46,2,2026-09-08,Toys,Action Figure,3,1649,4947,South,UPI,2026,9
47,60,2026-08-19,Home,Chair,3,899,2697,South,Card,2026,8
48,71,2026-09-16,Electronics,Smartwatch,1,1814,1814,West,Cash,2026,9
49,44,2026-09-03,Toys,Doll,3,1760,5280,East,Cash,2026,9
50,8,2026-10-27,Clothing,Shirt,4,521,2084,North,Cash,2026,10
51,47,2026-08-28,Clothing,Jacket,4,1988,7952,West,UPI,2026,8
52,35,2026-10-20,Toys,Board Game,1,1146,1146,North,Card,2026,10
53,36,2026-10-02,Home,Chair,3,674,2022,East,Cash,2026,10
54,50,2026-09-14,Clothing,Dress,3,242,726,North,Cash,2026,9
55,4,2026-08-17,Home,Table,3,1092,3276,West,Card,2026,8
56,2,2026-12-07,Clothing,Jacket,5,764,3820,North,Cash,2026,12
57,6,2026-07-20,Clothing,Dress,2,244,488,South,Card,2026,7
58,54,2026-11-06,Books,Novel,5,1348,6740,East,Card,2026,11
59,4,2026-12-02,Clothing,Jeans,2,1106,2212,East,Card,2026,12
